"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"0","368.86428178830243","423.16353814252824","0.013916015625","0.0146484375","0.01318359375","2400","0.00020054662428779172","32","0.00020054662428779172","0","0.00020054662428779172","0.00020054662428779172","1:0.002636238979918687;10:0.0013203035651885575","1:68;10:68","0.013916015625","Yes"
"1","152.00844074100556","205.63994717199233","0.011474609375","0.0126953125","0.01025390625","2400","0.00017101965794329903","32","0.00017101965794329903","0","0.00017101965794329903","0.00017101965794329903","2:0.0011719509340643863;0:0.002636238979918687","2:68;11:68;0:68","0.011474609375","Yes"
"2","401.61344532472316","476.34268633208563","0.010986328125","0.01171875","0.01025390625","2400","0.00010531425446865776","32","0.00010531425446865776","0","0.00010531425446865776","0.00010531425446865776","1:0.0011719509340643863;3:0.0009619855142054268;12:0.00150225633920123","1:68;3:68;12:68","0.010986328125","Yes"
"3","288.30803891983743","366.8686068019504","0.017822265625","0.015625","0.02197265625","2400","0.0002089697641682893","32","0.0002089697641682893","0","0.0002089697641682893","0.0002089697641682893","13:0.0012723980428900883;2:0.0009619855142054268;4:0.002432466150153356","13:68;2:68;4:168","0.017822265625","Yes"
"4","375.9202520765597","306.23494318514423","0.0069580078125","0.008056640625","0.005859375","2400","0.00025950285597850216","32","0.00025950285597850216","0","0.00025950285597850216","0.00025950285597850216","3:0.002432466150153356;5:0.00170923150361052;14:0.0025279599578425516","3:168;5:68;14:68","0.0069580078125","Yes"
"5","453.23800502130086","458.0118642516252","0.0162353515625","0.01953125","0.012939453125","2400","0.00014742780807341615","32","0.00014742780807341615","0","0.00014742780807341615","0.00014742780807341615","6:0.0012151858669878501;4:0.00170923150361052;15:0.0016397881055559282","6:88;4:68;15:68","0.0162353515625","Yes"
"6","303.1507144480373","141.2020924840724","0.0086669921875","0.008056640625","0.00927734375","2400","0.00019461855780899154","32","0.00019461855780899154","0","0.00019461855780899154","0.00019461855780899154","5:0.0012151858669878501;7:0.002688996437561153;16:0.0017563822842806276","5:88;7:68;16:68","0.0086669921875","Yes"
"7","469.915462507772","431.60725430113325","0.017822265625","0.0205078125","0.01513671875","2400","0.00007777535639367546","32","0.00007777535639367546","0","0.00007777535639367546","0.00007777535639367546","17:0.0015232323465676212;6:0.002688996437561153;8:0.0031456943173759633","17:68;6:68;8:68","0.017822265625","Yes"
"8","409.64566063719786","334.9663328664421","0.0098876953125","0.009521484375","0.01025390625","2400","0.0005870970762543715","32","0.0005870970762543715","0","0.0005870970762543715","0.0005870970762543715","9:0.00647746033222249;18:0.0024599557901889835;7:0.0031456943173759633","9:68;18:68;7:68","0.0098876953125","Yes"
"9","89.8236322896154","130.69953467600342","0.0155029296875","0.019775390625","0.01123046875","2400","0.0003545344755056028","32","0.0003545344755056028","0","0.0003545344755056028","0.0003545344755056028","8:0.00647746033222249;19:0.0016299036523946264","8:68;19:68","0.0155029296875","Yes"
"10","414.0964620105675","601.524950958104","0.0172119140625","0.01904296875","0.015380859375","2400","0.0002697456274453567","32","0.0002697456274453567","0","0.0002697456274453567","0.0002697456274453567","20:0.0010739253881510424;11:0.0010874488278238836;0:0.0013203035651885575","20:68;11:68;0:68","0.0172119140625","Yes"
"11","293.0671405139245","353.93907856117846","0.0093994140625","0.01123046875","0.007568359375","2400","0.00006615520732133187","32","0.00006615520732133187","0","0.00006615520732133187","0.00006615520732133187","10:0.0010874488278238836;12:0.001626503508966648;21:0.0012685174090333318","1:68;10:68;12:68;21:68","0.0093994140625","Yes"
"12","280.8512843063374","410.03001607655705","0.019775390625","0.017822265625","0.021728515625","2400","0.0000906868673045274","32","0.0000906868673045274","0","0.0000906868673045274","0.0000906868673045274","13:0.0016066287549922342;22:0.001976900373903606;2:0.00150225633920123;11:0.001626503508966648","13:68;22:68;2:68;11:68","0.019775390625","Yes"
"13","500.92147702067035","344.7049312928173","0.011474609375","0.009521484375","0.013427734375","2400","0.00013315690526533158","32","0.00013315690526533158","0","0.00013315690526533158","0.00013315690526533158","3:0.0012723980428900883;12:0.0016066287549922342;14:0.0011020385783372666;23:0.0015827587399452614","3:68;12:68;14:88;23:68","0.011474609375","Yes"
"14","331.5031874161243","309.52728850314213","0.007568359375","0.010498046875","0.004638671875","2400","0.00011610589781836658","32","0.00011610589781836658","0","0.00011610589781836658","0.00011610589781836658","15:0.001587382200993026;24:0.0047694168228918365;13:0.0011020385783372666;4:0.0025279599578425516","15:108;24:68;13:88;4:68","0.007568359375","Yes"
"15","280.2817281366615","199.0613644919299","0.01171875","0.016357421875","0.007080078125","2400","0.0003516507983568657","32","0.0003516507983568657","0","0.0003516507983568657","0.0003516507983568657","14:0.001587382200993026;16:0.0019425401050741642;25:0.0013020068003493368;5:0.0016397881055559282","14:108;16:68;25:68;5:68","0.01171875","Yes"
"16","391.6751914377185","197.56386947419716","0.01708984375","0.01708984375","0.01708984375","2400","0.00018269043619030732","32","0.00018269043619030732","0","0.00018269043619030732","0.00018269043619030732","15:0.0019425401050741642;17:0.0014356762121783273;26:0.0011778645025560253;6:0.0017563822842806276","15:68;17:68;26:68;6:68","0.01708984375","Yes"
"17","308.4625990907402","187.04375353712703","0.00732421875","0.008544921875","0.006103515625","2400","0.00012940758501125561","32","0.00012940758501125561","0","0.00012940758501125561","0.00012940758501125561","7:0.0015232323465676212;16:0.0014356762121783273;18:0.0017394737776825209;27:0.0019455087176249442","7:68;16:68;18:108;27:68","0.00732421875","Yes"
"18","356.01833790990645","362.1386374593693","0.0059814453125","0.0068359375","0.005126953125","2400","0.0001271780983370985","32","0.0001271780983370985","0","0.0001271780983370985","0.0001271780983370985","8:0.0024599557901889835;28:0.0015018376873786043;17:0.0017394737776825209","8:68;19:68;28:68;17:108","0.0059814453125","Yes"
"19","513.1675491704469","559.1777273496446","0.011962890625","0.014404296875","0.009521484375","2400","0.00013107578415727755","32","0.00013107578415727755","0","0.00013107578415727755","0.00013107578415727755","9:0.0016299036523946264;29:0.0029586815487445683","18:68;9:68;29:68","0.011962890625","Yes"
"20","389.3276386389991","514.0866084302014","0.0106201171875","0.01123046875","0.009521484375","2400","0.00025278966432368315","32","0.00025278966432368315","0","0.00025278966432368315","0.00025278966432368315","10:0.0010739253881510424;21:0.0014337053724900461;30:0.01482549353524612","10:68;21:68;30:68","0.0106201171875","Yes"
"21","551.4104513981849","492.9930930043981","0.016845703125","0.0234375","0.01025390625","2400","0.0001912416959266854","32","0.0001912416959266854","0","0.0001912416959266854","0.0001912416959266854","20:0.0014337053724900461;22:0.004504476672747587;31:0.0015708697409159977;11:0.0012685174090333318","20:68;22:68;31:68;11:68","0.016845703125","Yes"
"22","292.8522121834359","245.31326137385912","0.0360107421875","0.057861328125","0.01416015625","2400","0.00026852243659933474","32","0.00026852243659933474","0","0.00026852243659933474","0.00026852243659933474","12:0.001976900373903606;32:0.0031777580210999024;21:0.004504476672747587","23:108;12:68;32:68;21:68","0.0360107421875","Yes"
