"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"0","452.7707508506012","329.6838532897075","0.0147705078125","0.017333984375","0.01220703125","2400","0.00010891213327716618","32","0.00010891213327716618","0","0.00010891213327716618","0.00010891213327716618","1:0.0011576206776898468;10:0.0020268022224034232","1:128;10:128","0.0147705078125","Yes"
"1","284.31168255399655","240.603809851802","0.021484375","0.024658203125","0.018310546875","2400","0.00019072170030261262","32","0.00019072170030261262","0","0.00019072170030261262","0.00019072170030261262","2:0.0013740456964584091;11:0.003727385840250702;0:0.0011576206776898468","2:128;11:128;0:128","0.021484375","Yes"
"2","280.9380642319513","269.8046375102248","0.0196533203125","0.028564453125","0.0107421875","2400","0.0002843356345823737","32","0.0002843356345823737","0","0.0002843356345823737","0.0002843356345823737","1:0.0013740456964584091;3:0.001422605204418087;12:0.0020208388142345657","1:128;3:128;12:148","0.0196533203125","Yes"
"3","303.67699859716436","338.1399694943306","0.02197265625","0.0234375","0.01123046875","2400","0.00007415725852633225","32","0.00007415725852633225","0","0.00007415725852633225","0.00007415725852633225","13:0.0012018561674601025;2:0.001422605204418087;4:0.001409092870069989","13:128;2:128;4:128","0.02197265625","Yes"
"4","456.14765517501684","395.73626031354115","0.014404296875","0.01953125","0.00927734375","2400","0.0001372063183503906","32","0.0001372063183503906","0","0.0001372063183503906","0.0001372063183503906","3:0.001409092870069989;5:0.001599998457903623;14:0.003046504887657453","3:128;5:148;14:228","0.014404296875","Yes"
"5","311.4505846385258","428.61758845841024","0.0263671875","0.027099609375","0.025634765625","2400","0.00027953256206327145","32","0.00027953256206327145","0","0.00027953256206327145","0.00027953256206327145","4:0.001599998457903623;15:0.004191986285572408","6:128;4:148;15:128","0.0263671875","Yes"
"6","5.617259793689123","10.500627729948706","0.0501708984375","0.088134765625","0.01220703125","2400","0.0039569862736156544","32","0.0039569862736156544","0","0.0039569862736156544","0.0039569862736156544","","5:128;7:128;16:488","0.0501708984375","Yes"
"7","115.62680142831987","167.12202477638704","0.0406494140625","0.047607421875","0.03369140625","2400","0.00024895709314238514","32","0.00024895709314238514","0","0.00024895709314238514","0.00024895709314238514","17:0.002108422278817884;8:0.0021892078411594185","17:128;6:128;8:128","0.0406494140625","Yes"
"8","326.073316873009","379.3196094210028","0.056396484375","0.07080078125","0.0419921875","2400","0.00011154162620961137","32","0.00011154162620961137","0","0.00011154162620961137","0.00011154162620961137","9:0.004540242628806396;18:0.0026961760914678;7:0.0021892078411594185","9:128;18:128;7:128","0.056396484375","Yes"
"9","346.7525518018313","348.87513043068196","0.0096435546875","0.009033203125","0.01025390625","2400","0.00012846040886926825","32","0.00012846040886926825","0","0.00012846040886926825","0.00012846040886926825","8:0.004540242628806396;19:0.0011969385260303667","8:128;19:128","0.0096435546875","Yes"
"10","375.4370010322847","306.4940478059195","0.01416015625","0.015625","0.0126953125","2400","0.00028230422451940327","32","0.00028230422451940327","0","0.00028230422451940327","0.00028230422451940327","20:0.001774426905691795;11:0.00430226345821888;0:0.0020268022224034232","20:128;11:128;0:128","0.01416015625","Yes"
"11","34.249447718257734","56.01432630829854","0.067138671875","0.11328125","0.02099609375","2400","0.002515335308584395","32","0.002515335308584395","0","0.002515335308584395","0.002515335308584395","1:0.003727385840250702;10:0.00430226345821888;12:0.004756399263661781;21:0.003916394551709779","1:128;10:128;12:128;21:128","0.067138671875","Yes"
"12","406.48769652954303","321.6459853842306","0.0250244140625","0.030517578125","0.01953125","2400","0.00019689810726301491","32","0.00019689810726301491","0","0.00019689810726301491","0.00019689810726301491","13:0.001327817021016059;22:0.0020918945806862876;2:0.0020208388142345657;11:0.004756399263661781","13:148;22:208;2:148;11:128","0.0250244140625","Yes"
"13","512.5716104067085","272.59615454546395","0.0120849609375","0.013916015625","0.01025390625","2400","0.00024279918914887924","32","0.00024279918914887924","0","0.00024279918914887924","0.00024279918914887924","3:0.0012018561674601025;12:0.001327817021016059;14:0.00242731862796311;23:0.002137654406327155","3:128;12:148;14:268;23:228","0.0120849609375","Yes"
"14","229.35266226369268","262.7164384807509","0.0108642578125","0.015625","0.006103515625","2400","0.0002697742192710558","32","0.0002697742192710558","0","0.0002697742192710558","0.0002697742192710558","15:0.0023050431776658054;24:0.0028101733477010338;13:0.00242731862796311;4:0.003046504887657453","15:128;24:228;13:268;4:228","0.0108642578125","Yes"
"15","374.8892670125996","285.79412898933913","0.015625","0.018798828125","0.012451171875","2400","0.0001423657887838055","32","0.0001423657887838055","0","0.0001423657887838055","0.0001423657887838055","14:0.0023050431776658054;16:0.0025419847612899726;25:0.053493153385526904;5:0.004191986285572408","14:128;16:148;25:288;5:128","0.015625","Yes"
"16","296.8764448295006","215.32508346046063","0.0133056640625","0.019287109375","0.00732421875","2400","0.0001544615930072248","32","0.0001544615930072248","0","0.0001544615930072248","0.0001544615930072248","15:0.0025419847612899726;17:0.0025213956422828476;26:0.004004620376215101","15:148;17:128;26:248;6:488","0.0133056640625","Yes"
"17","425.2024371677461","321.44274215205604","0.009765625","0.013671875","0.005859375","2400","0.00015426621022285037","32","0.00015426621022285037","0","0.00015426621022285037","0.00015426621022285037","7:0.002108422278817884;16:0.0025213956422828476;18:0.003105068905330216;27:0.0018761644909114084","7:128;16:128;18:128;27:128","0.009765625","Yes"
"18","351.2403141465098","343.36881433917165","0.0118408203125","0.013671875","0.010009765625","2400","0.00022987018915230202","32","0.00022987018915230202","0","0.00022987018915230202","0.00022987018915230202","8:0.0026961760914678;19:0.0033226163720885826;28:0.004137635993891442;17:0.003105068905330216","8:128;19:128;28:88;17:128","0.0118408203125","Yes"
"19","389.2950181945211","372.1285603539334","0.0147705078125","0.013916015625","0.015625","2400","0.0003247836222989967","32","0.0003247836222989967","0","0.0003247836222989967","0.0003247836222989967","18:0.0033226163720885826;9:0.0011969385260303667;29:0.0013402938442914347","18:128;9:128;29:88","0.0147705078125","Yes"
"20","241.2788822474687","251.05113595326506","0.0096435546875","0.00732421875","0.00537109375","2400","0.0001537651217551073","32","0.0001537651217551073","0","0.0001537651217551073","0.0001537651217551073","10:0.001774426905691795;21:0.0015549912665008547;30:0.0024900811454278693","10:128;21:128;30:128","0.0096435546875","Yes"
"21","346.7565512064312","361.6359447135678","0.015625","0.02294921875","0.00830078125","2400","0.0002904924874486865","32","0.0002904924874486865","0","0.0002904924874486865","0.0002904924874486865","20:0.0015549912665008547;22:0.0022841604535825955;11:0.003916394551709779","20:128;22:128;31:180;11:128","0.015625","Yes"
"22","553.0613317789357","311.36001077666543","0.021728515625","0.031494140625","0.011962890625","2400","0.00031353444028118317","32","0.00031353444028118317","0","0.00031353444028118317","0.00031353444028118317","23:0.0017966166192277533;12:0.0020918945806862876;32:0.002200376464307069;21:0.0022841604535825955","23:148;12:208;32:168;21:128","0.021728515625","Yes"
